mol_id,smiles,homo-fopt,lumo-fopt,gap-fopt,e_tot-fopt
a-59,NCC[NbH3-](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CCSC,-1.63914213,1.5871483,3.22629043,-151332.12866293
a-60,Cl[BH-](S(=O)(=O)C(C(F)(F)F)(F)F)C(C(F)(F)F)(F)F,-2.8744233599999998,2.25158946,5.12601282,-59594.5104535
a-61,N[N-]S(=O)(=O)C(C(F)(F)F)(F)F,-0.87259261,3.24835272,4.12094533,-33660.70529092
a-62,SCCC[AsH3-](CC(=O)O)CCCS,-1.19484677,1.72412609,2.9189728600000002,-96365.70177177
a-63,C[InH-](C(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)C,-2.00749522,2.02130697,4.02880219,-192748.25329253
a-64,N[GaH-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)Cl,-1.37545297,0.13644064,1.51189361,-127376.21582004
a-65,CC[AsH3-](CCSC)CCSC,-0.54063725,2.49027496,3.03091221,-92299.87467014
a-66,CCC[BH-](S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)S(=O)(=O)F,-3.14958582,1.35161855,4.50120437,-58737.77623358
a-67,CCCCCCCC[Si](c1ccc(cc1)[AlH-](C(C(C(F)(F)F)(F)F)(F)F)CCCCCC)(C)C,-2.09232695,1.21559648,3.3079234299999998,-60141.17425222
a-68,NC[GaH-](CC(C)C)CCC,-1.00799767,2.9203345499999998,3.92833222,-63308.19203369
a-69,CCCCC(C(=O)[O-])(CCSC)Br,-0.86317027,2.18334639,3.04651666,-95971.91352392
a-70,SCCC[TaH3-](S(=O)(=O)F)c1ccccc1C(=O)O,-2.00866111,0.1827298,2.19139091,-480508.33222487
a-71,NC[InH-](S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)S(=O)(=O)F,-2.6568438,1.01883563,3.6756794299999997,-226031.34971634
a-72,CSCC[AlH-](CCC(=O)N)CN,-1.35829035,2.49998761,3.85827796,-30072.52306268
a-73,[O-]C(=O)C(O)N,-0.27552125,3.70274251,3.97826376,-9776.19718978
a-74,NC[AlH-](S(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)CN,-1.08094528,1.65268214,2.73362742,-55414.22801557
a-75,O[N-]S(=O)(=O)C(F)(F)F,-0.59586202,3.70765251,4.30351453,-27725.93704918
a-76,O[InH-](c1ccc(cc1)[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C)C)CCCS,-1.50577524,0.36250686,1.8682821,-238384.23142252
a-77,F[GaH-](C(C(F)(F)F)(F)F)CC(=O)O,-2.41601076,2.66110191,5.07711267,-77812.10045829
a-78,CCCCC(S(=O)(=O)C(C(F)(F)F)(F)F)(S(=O)(=O)C(F)(F)F)C(=O)[O-],-2.26666754,0.72794474,2.99461228,-65283.34272122
a-79,COCCOCC[NbH3-](S(=O)(=O)C(C(F)(F)F)(F)F)C(CC)C,-2.09220015,1.22891281,3.32111296,-149344.37590296
a-80,NC[GaH-](c1ccc(cc1)C)c1ccc(cc1)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-1.6230894,0.77114145,2.39423085,-111024.22803555
a-81,NCCCCC(S(=O)(=O)C(C(C(F)(F)F)(F)F)(F)F)(C(=O)[O-])N,-1.32126047,1.7225671,3.04382757,-50618.34234835
a-82,CCC(C(C(=O)[O-])(CCCC(C(F)(F)F)(F)F)Cl)C,-0.9257653,2.41498592,3.34075122,-41926.11072327
a-83,CCCCCC(S(=O)(=O)F)(C(=O)[O-])CCCS,-1.2731694,1.93447995,3.20764935,-43333.77122699
